Source,Target
88,35
88,42
88,62
88,74
88,78
88,97
89,0
89,1
89,7
89,15
89,27
89,28
89,41
89,77
90,24
90,68
90,78
90,93
90,94
90,97
91,0
91,2
91,9
91,10
91,22
91,26
91,29
91,40
91,71
91,74
91,85
92,11
92,17
92,36
92,52
92,63
92,85
92,87
93,0
93,2
93,12
93,14
93,22
93,23
93,27
93,30
93,35
93,38
93,39
93,46
93,48
93,55
93,58
93,62
93,64
93,68
93,77
93,90
93,95
94,7
94,36
94,43
94,48
94,50
94,62
94,70
94,81
94,83
94,84
94,90
95,0
95,2
95,12
95,15
95,25
95,27
95,32
95,36
95,45
95,50
95,55
95,70
95,77
95,93
96,3
96,14
96,17
96,45
96,46
96,54
96,58
96,85
97,7
97,10
97,20
97,22
97,24
97,40
97,53
97,63
97,75
97,80
97,86
97,88
97,90
98,2
98,6
98,10
98,15
98,24
98,28
98,33
98,46
98,72
98,82
98,85
99,4
99,6
99,23
99,30
99,34
99,42
99,44
99,51
99,64
99,71
99,76
99,79
99,80
